epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,13730.2,1.6463,1.75353,1.48252,0.59679,0.51746,0.54771,0.29225,1.69968,1.85536,1.49913,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,14180.3,1.6366,1.74491,1.47099,0.59386,0.52304,0.55085,0.29365,1.69749,1.85312,1.49604,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,14624.4,1.63256,1.72708,1.46706,0.59723,0.52511,0.55278,0.2945,1.69513,1.84628,1.49235,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,15071.5,1.62375,1.71604,1.46356,0.59647,0.52785,0.55483,0.29564,1.69695,1.84403,1.49246,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,15522.4,1.61821,1.69503,1.45937,0.60065,0.52801,0.55596,0.29642,1.69706,1.83878,1.49085,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,15979.8,1.60964,1.68118,1.45096,0.60081,0.52853,0.55714,0.29755,1.69518,1.83563,1.48812,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,16429.6,1.60858,1.66672,1.44882,0.60438,0.52652,0.55813,0.29808,1.69467,1.82968,1.48622,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
39,16885.9,1.59466,1.65319,1.44484,0.60717,0.52855,0.55911,0.29926,1.69635,1.82662,1.4867,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
40,17340.6,1.59453,1.64334,1.43934,0.60838,0.52979,0.56043,0.29999,1.69791,1.82342,1.48666,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
41,17764.7,1.58058,1.56407,1.4687,0.60616,0.53081,0.56185,0.30105,1.69716,1.81515,1.48585,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
42,18192.2,1.56806,1.53378,1.46291,0.60906,0.53125,0.56399,0.30205,1.69697,1.8088,1.48572,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
43,18615.1,1.55956,1.51073,1.45371,0.61452,0.5345,0.56603,0.30305,1.69745,1.8005,1.48527,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
44,19045.3,1.54878,1.49514,1.44977,0.61467,0.53576,0.56805,0.30385,1.69747,1.79393,1.48475,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
45,19471.9,1.53997,1.46939,1.43922,0.62169,0.53218,0.56906,0.30478,1.69728,1.79454,1.48427,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
46,19870.7,1.53231,1.45136,1.43823,0.61839,0.53332,0.56968,0.30516,1.69694,1.79388,1.4838,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
47,20255.7,1.52343,1.43435,1.42442,0.61702,0.53471,0.57089,0.30588,1.69685,1.79237,1.48266,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
48,20645.3,1.51422,1.42022,1.42365,0.61636,0.53653,0.57163,0.30662,1.69686,1.7899,1.48222,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
49,21032.7,1.50754,1.40195,1.41879,0.6202,0.53629,0.57225,0.30729,1.69727,1.78578,1.48202,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
50,21417.7,1.49804,1.39211,1.41181,0.62295,0.53655,0.5733,0.30813,1.6976,1.78417,1.4819,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
